Title,Subtitle,City,Zip,Date,Program,Services
"Alternative Drug & Alcohol Counseling, LLC","370 Virginia Avenue,",Hagerstown,21740,Date: 06/25/2021 Through 06/24/2024,Program: Behavioral Health,"Service: Intensive Outpatient Treatment, Outpatient Treatmen"
"Alternative Drug & Alcohol Counseling, LLC","217 Glenn St. Suite 401,",Cumberland,21740,Date: 06/25/2021 Through 06/24/2024,Program: Behavioral Health,"Service: Intensive Outpatient Treatment, Outpatient Treatmen"
"Alternative Drug & Alcohol Counseling, LLC","324 East Antietam Street, Suite # 308",Hagerstown,21740,Date: 06/25/2021 Through 06/24/2024,Program: Behavioral Health,"Service: Intensive Outpatient Treatment, Outpatient Treatmen"
"Anilaine Community of Healing, LLC","7111 Allentown Road,Suite 102,",Fort Washington,20744,Date: 05/16/2021 Through 05/15/2024,Program: Behavioral Health,Service: Psychosocial Rehabilitation
"Apex Counseling Center, LLC","3200 Eastern Ave,",Baltimore,21224,Date: 04/11/2022 Through 04/10/2025,Program: Behavioral Health,Service: Outpatient Treatment
"Balance Point Wellness, LLC","5820 York Rd, Suite 201,",Baltimore,21212,Date: 06/01/2021 Through 05/31/2024,Program: Behavioral Health,Service: Outpatient Treatment
"Balance Point Wellness, LLC","7658 Belair Road,",Nottingham,21236,Date: 06/01/2021 Through 05/31/2024,Program: Behavioral Health,Service: Outpatient Treatment
"Balance Point Wellness, LLC","2015 Emmorton Rd Suite 201,",Bel Air,21015,Date: 04/16/2021 Through 04/15/2024,Program: Behavioral Health,Service: Outpatient Treatment
"Balance Point Wellness, LLC","212 West Main Street, Unit 303,",Salisbury,21801,Date: 04/16/2021 Through 04/15/2024,Program: Behavioral Health,Service: Outpatient Treatment
Baltimore Cares Inc.,"2300 Garrison Boulevard Suite 150,",Baltimore,21216,Date: 04/22/2021 Through 04/21/2024,Program: Behavioral Health,"Service: Intensive Outpatient Treatment, Outpatient Treatmen"
"Behavioral Care Management Group, PC","18891 Bungalow Dr,",Lathrup Village,48076,Date: 12/30/2022 Through 12/29/2025,Program: Behavioral Health,Service: Outpatient Treatment
"Best Care Home Health, LLC","6983 E Fowler Ave.,",Temple Terrace,33617,Date: 03/29/2023 Through 03/29/2026,Program: Behavioral Health,Service: Behavioral Health (Home Health)
"Best Care Home Health, LLC","6983 E Fowler Ave.,",Temple Terrace,33617,Date: 03/29/2023 Through 03/29/2026,Program: Home Health,"Service: Occupational Therapy Services, Physical Therapy Services, Skilled Nursing Services, Speech Therapy Services"
"Blonnie's House, LLC","4000 Erdman Avenue,",Baltimore,21213,Date: 02/01/2022 Through 01/31/2025,Program: Behavioral Health,"Service: Outpatient Treatment, Supervised Group Living"
Bright Horizons Behavioral Health,"3531 Washington Blvd. Suite 220-240,",Halethorpe,21227,Date: 05/03/2021 Through 05/02/2024,Program: Behavioral Health,"Service: Intensive Outpatient Treatment, Intensive Outpatient TreatmentOutpatient TreatmentOutpatient Treatmen"
